 1   1
 2   1
 3   1
 4   1
 5   1
 6   1
 7   1
 8   1
 9   1
10   1
11   1
12   1
13   1
14   1
15   1
16   1
17   1
18   1
19   1
20   1
21   1
22   1
23   1
24   1
25   1
26   1
27 -26
28   1
29   1
30   1
31 -30
32   1
33   1
34 -33
35   1
36   1
37   1
38   1
39   1
40   1
41 -37
42 -38
43 -39
44 -40
45   1
46 -45
47   1
48   1
49  -1
50  -2
51  -3
52  -4
53  -5
54  -6
55  -7
56  -8
57  -9
58 -10
59 -11
60 -12
61 -17
62 -18
63 -19
64 -20
65 -13
66 -14
67 -15
68 -16
69 -21
70 -22
71 -23
72 -24
