             1             1
             2             1
             3             1
             4             1
             5            -1
             6            -2
             7            -3
             8            -4
             9             1
            10             1
            11            -9
            12           -10
            13             1
            14           -13
            15             1
            16             1
            17             1
            18             1
            19             1
            20           -19
            21             1
            22           -21
            23             1
            24           -23
25.18             1
26.06             1
            27           -25
            28           -26
29.02             1
30.06             1
31.02             1
            32           -31
33.02             1
34.06             1
35.02             1
36.02             1
            37           -33
            38           -34
            39           -35
            40           -36
41.06             1
42.02             1
43.02             1
            44           -41
            45           -42
            46           -43
47.02             1
48.02             1
            49             1
            50             1
            51           -49
            52           -50
            53             1
            54             1
            55             1
            56           -55
            57             1
            58             1
            59             1
            60             1
            61           -57
            62           -58
            63           -59
            64           -60
            65             1
            66           -65
            67             1
            68           -67
            69             1
            70             1
            71             1
            72           -71
